fund_name,amc_name,category,launch_date,nav,nav_currency,nav_as_of,expense_ratio,aum,aum_currency,aum_unit,inception_date,minimum_investment,lock_in_period,exit_load,benchmark_index,target_corpus_at_launch,target_corpus_at_launch,source_name,source_url,scraped_at,scrape_status,source_tier
Marcellus GCP,Marcellus Investment Managers Private Limited (IFSC Branch),PMS (35-40 North America/Europe quality compounders),2022-10-19,,USD,,,,,,,"USD 75,000",,,,,,Tequity verified fund directory,https://tequity.co.in/gift-city/pms/marcellus-gcp/,2026-08-19T07:45:21.682435+00:00,partial,tier1_amc
Edelweiss India Multimanager Equity Fund,Edelweiss Asset Management Limited (IFSC Branch),Category III AIF (inbound fund-of-funds across top India mutual funds),,,USD,,,,,,,"USD 150,000",,,,,,Tequity verified fund directory,https://tequity.co.in/gift-city/aif/edelweiss-india-multimanager/,2026-08-19T07:45:22.683144+00:00,partial,tier1_amc
Baroda BNP Paribas Gift Multicap Fund,Baroda BNP Paribas Asset Management India Private Limited (IFSC Branch),Retail Fund (inbound feeder into domestic Baroda BNP Paribas Multicap Fund),,,USD,,,,,,,,,,,,,Tequity verified fund directory,https://tequity.co.in/gift-city/mutual-funds/,2026-08-19T07:45:23.683772+00:00,partial,tier1_amc
Edelweiss India Opportunities Fund,Edelweiss Asset Management Limited (IFSC Branch),"Retail Fund (inbound feeder, underlying domestic scheme not yet confirmed)",,,USD,,,,,,,,,,,,,Tequity verified fund directory,https://tequity.co.in/gift-city/mutual-funds/,2026-08-19T07:45:24.685344+00:00,partial,tier1_amc
Motilal Oswal GIFT City India Equity Fund of Funds Trust,MO Alternative IFSC Private Limited,Category III AIF (inbound feeder into domestic Motilal Oswal Large & Midcap Fund),,,USD,,,,,,,"USD 150,000",,,,,,Kalviro Ventures fund guide + Motilal Oswal official GIFT City page,https://www.kalviroventures.com/motilal-oswal-gift-city-fund-nri-foreign-investors/,2026-08-19T07:45:25.686199+00:00,partial,tier1_amc
Baroda BNP Paribas GIFT US Small Cap Fund,Baroda BNP Paribas Asset Management India Private Limited (IFSC Branch),Open-ended Category III AIF,,113.4611,USD,2026-08-18,1.75,,,,,"USD 150,000",,,,,,Baroda BNP Paribas GIFT City page,https://www.barodabnpparibasmf.in/gift-us-small-cap-fund,2026-08-19T07:45:26.687184+00:00,success,tier1_amc
Nippon India Large Cap Fund GIFT,Nippon Life India Asset Management Limited (IFSC Branch),Open-ended Category III AIF,,98.58,USD,2025-07-31,,2.2649,USD,million,,,,,Nifty 100 TRI,,,Nippon India GIFT City factsheet,https://giftcity.nipponindiaim.com/giftcity_files/pdf/GIFT-CITY-Factsheet-Aug25.pdf,2026-08-19T07:45:29.229329+00:00,success,tier1_amc
Quant Algorithmic Strategies Fund,Altus Fund Management IFSC Private Limited,Category III AIF (market-neutral quant),2025-04-28,104.102,USD,,,,,,,,,,,,,Altus IFSC weekly factsheet,https://www.altusifsc.com/upload/files/Quant%20Algorithmic%20Strategies%20Fund%20Week%2024.pdf,2026-08-19T07:45:30.870131+00:00,success,tier1_amc
Nuvama India EDGE Fund,Nuvama Asset Management Limited,Category III AIF (long-short equity),2024-09-17,,USD,,,,,,,,,,,,,Nuvama Asset Management public markets page,https://www.nuvamaassetmanagement.com/public-markets.html,2026-08-19T07:45:35.863202+00:00,partial,tier1_amc
Rangoli India Fund,Unifi Investment Management LLP,"Category III AIF (PMS-style performance reporting -- see source for CAGR/returns, not a per-unit NAV)",,,USD,,,,,,,,,,MSCI India (USD),,,Unifi Investment Management official fund page,https://unifiinvestment.com/the-rangoli-india-fund/,2026-08-19T07:45:37.460495+00:00,success,tier1_amc
